序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,300740,水羊股份,16.91,20.01,2.82,637574.0,996807233.77,17.32,16.91,14.47,14.47,14.09,2.48,17.84,39.2,3.21,6566804475.0,6042792829.0,0.0,0.0,37.37,27.91
2,300997,欢乐家,20.87,20.01,3.48,319271.0,606100755.92,23.12,20.87,16.85,17.32,17.39,1.8,8.27,66.64,8.77,9130071423.0,8055971433.0,0.0,0.0,37.3,37.66
3,300422,博世科,5.76,20.0,0.96,886747.0,495615654.94,16.04,5.76,4.99,4.99,4.8,7.72,17.17,-73.66,2.36,3075151041.0,2975272428.0,0.0,0.0,34.27,32.41
4,300804,广康生化,34.38,20.0,5.73,115283.0,379233038.67,12.5,34.38,30.8,31.5,28.65,5.32,41.92,37.17,1.9,2544120000.0,945450000.0,0.0,0.0,41.95,52.39
5,300815,玉禾田,22.32,20.0,3.72,544344.0,1185493049.0,17.8,22.32,19.01,19.01,18.6,3.57,14.07,13.79,2.15,8896573440.0,8634233802.0,0.0,0.0,36.43,43.17
6,873576,天力复合,42.31,16.78,6.08,117177.0,485299869.35,27.85,45.55,35.46,35.8,36.23,2.22,10.94,122.13,10.09,4609674500.0,4532667634.0,0.02,0.19,71.36,103.81
7,300130,新国都,24.62,16.3,3.45,984209.0,2320255329.63,16.86,25.2,21.63,21.63,21.17,8.2,22.66,22.32,3.2,13966904408.0,10691122560.0,0.0,-0.28,10.45,13.67
8,688211,中科微至,34.97,15.45,4.68,60256.0,206386922.0,14.86,35.5,31.0,31.0,30.29,4.44,4.58,-43.69,1.31,4602356169.0,4602356169.0,1.1,0.6,8.64,19.56
9,301082,久盛电气,22.66,13.13,2.63,644483.0,1445887957.73,21.17,24.04,19.8,20.1,20.03,1.66,30.8,-193.68,5.04,5128165883.0,4741186039.0,0.09,0.53,51.17,69.99
10,831370,新安洁,5.25,12.42,0.58,630421.0,350223553.2,20.13,5.98,5.04,5.2,4.67,4.6,23.56,-46.07,2.51,1607970000.0,1404685112.0,0.19,1.74,33.25,53.96
11,300857,协创数据,79.7,11.81,8.42,229627.0,1788075483.11,12.09,81.62,73.0,74.7,71.28,4.47,6.71,40.43,8.22,27365569159.0,27287993164.0,-0.1,-0.13,-1.99,4.68
12,688455,科捷智能,19.3,11.69,2.02,290884.0,549338059.0,20.66,20.74,17.17,18.98,17.28,3.51,22.4,-20.08,3.77,3490388923.0,2506088923.0,1.31,1.26,59.5,76.09
13,300703,创源股份,22.2,11.0,2.2,622359.0,1262287101.24,25.65,23.88,18.75,20.02,20.0,1.62,36.68,48.83,4.55,4004698848.0,3766487143.0,0.0,1.79,51.43,57.22
14,000826,启迪环境,2.07,10.11,0.19,619013.0,126517221.46,9.57,2.07,1.89,1.89,1.88,1.72,4.34,-5.56,4.28,2950481223.0,2950108025.0,0.0,0.0,4.02,3.5
15,000539,粤电力Ａ,4.79,10.11,0.44,1577676.0,742639436.99,7.36,4.79,4.47,4.47,4.35,9.43,6.18,-16.42,1.11,25148860293.0,12233164949.0,0.0,0.0,5.97,5.74
16,600805,悦达投资,5.34,10.1,0.49,709146.0,371881036.0,10.31,5.34,4.84,4.84,4.85,1.82,8.34,71.77,1.04,4543776598.0,4540470465.0,0.0,0.0,16.85,20.54
17,002177,御银股份,5.24,10.08,0.48,1457564.0,747852523.5,11.34,5.24,4.7,4.76,4.76,1.98,21.78,151.74,2.34,3988642381.0,3506660997.0,0.0,0.0,4.17,16.44
18,600495,晋西车轴,5.25,10.06,0.48,1572859.0,799017565.0,10.48,5.25,4.75,4.76,4.77,0.91,13.02,202.81,1.94,6343002152.0,6343002152.0,0.0,0.0,32.91,38.16
19,605167,利柏特,11.73,10.04,1.07,303623.0,344323610.0,10.88,11.73,10.57,10.58,10.66,0.95,6.76,36.72,2.81,5267591100.0,5267591100.0,0.0,0.0,25.32,21.68
20,002342,巨力索具,5.59,10.04,0.51,1429266.0,768270859.37,9.65,5.59,5.1,5.1,5.08,1.87,14.97,224.12,2.21,5366400000.0,5336717100.0,0.0,0.0,73.07,73.07
21,603506,南都物业,12.17,10.04,1.11,129107.0,152311287.0,7.23,12.17,11.37,11.4,11.06,4.01,6.88,19.38,2.04,2285255570.0,2285255570.0,0.0,0.0,24.82,43.01
22,002574,明牌珠宝,7.45,10.04,0.68,1164074.0,812850526.7,11.23,7.45,6.69,6.8,6.77,1.65,22.05,-25.86,1.28,3933600000.0,3933600000.0,0.0,0.0,54.89,61.61
23,002946,新乳业,19.97,10.03,1.82,202045.0,395143616.11,8.26,19.97,18.47,18.59,18.15,2.57,2.38,32.25,5.42,17187658103.0,16988592889.0,0.0,0.0,35.12,37.91
24,002867,周大生,16.34,10.03,1.49,288643.0,459152344.59,10.98,16.34,14.71,14.77,14.85,3.24,2.65,17.76,2.71,17907435170.0,17803233536.0,0.0,0.0,26.37,12.46
25,002347,泰尔股份,8.56,10.03,0.78,773159.0,638253905.8,11.57,8.56,7.66,7.78,7.78,1.08,15.67,-116.86,3.6,4320251483.0,4223357633.0,0.0,0.0,-4.57,27.0
26,603518,锦泓集团,9.99,10.02,0.91,657253.0,652314303.0,4.07,9.99,9.62,9.89,9.08,4.28,19.1,9.73,0.96,3463392980.0,3437088811.0,0.0,0.0,14.56,5.27
27,603076,乐惠国际,30.31,10.02,2.76,117632.0,343441839.0,12.74,30.31,26.8,27.0,27.55,2.53,9.75,102.33,2.88,3658457737.0,3658457737.0,0.0,0.0,28.16,31.55
