symbol,name,engname,tradetype,lasttrade,prevclose,open,high,low,volume,amount,ticktime,buy,sell,pricechange,changepercent
00001,长和,CKH HOLDINGS,,43.40000,43.55000,43.45000,43.85000,43.05000,2560691,111578000,2025/05/29 14:10:35,43.35000,43.40000,-0.15000,-0.34443
00002,中电控股,CLP HOLDINGS,,66.25000,66.40000,66.25000,66.40000,66.05000,2350845,155634707,2025/05/29 14:11:06,66.20000,66.30000,-0.15000,-0.22590
00003,香港中华煤气,HK & CHINA GAS,,6.94000,6.97000,6.97000,6.97000,6.92000,14602893,101374504,2025/05/29 14:10:33,6.94000,6.95000,-0.03000,-0.43042
00004,九龙仓集团,WHARF HOLDINGS,,19.56000,20.25000,20.05000,20.45000,19.32000,1098704,21662497,2025/05/29 14:11:18,19.54000,19.58000,-0.69000,-3.40741
00005,汇丰控股,HSBC HOLDINGS,,91.90000,91.95000,91.65000,92.55000,91.55000,7932750,729605686,2025/05/29 14:11:15,91.90000,91.95000,-0.05000,-0.05438
00006,电能实业,POWER ASSETS,,48.75000,49.05000,49.00000,49.10000,48.65000,1234579,60284040,2025/05/29 14:09:59,48.75000,48.80000,-0.30000,-0.61162
00007,智富资源投资,WISDOM WEALTH,,0.03200,0.03200,0.00000,0.00000,0.00000,0,0,2025/05/29 08:55:00,0.00000,0.00000,0.00000,0.00000
00008,电讯盈科,PCCW,,5.19000,5.14000,5.14000,5.30000,5.14000,10494025,54739827,2025/05/29 14:11:23,5.18000,5.20000,0.05000,0.97276
00009,金奥国际,KEYNE LTD,,0.01300,0.01300,0.00000,0.00000,0.00000,0,0,2025/05/29 08:55:00,0.00000,0.00000,0.00000,0.00000
00010,恒隆集团,HANG LUNG GROUP,,11.16000,11.22000,11.28000,11.28000,11.16000,159000,1784023,2025/05/29 14:08:40,11.16000,11.18000,-0.06000,-0.53476
00011,恒生银行,HANG SENG BANK,,108.70000,108.40000,108.00000,109.00000,108.00000,677970,73627504,2025/05/29 14:09:59,108.70000,108.80000,0.30000,0.27675
00012,恒基地产,HENDERSON LAND,,24.25000,24.25000,24.25000,24.55000,24.15000,3116006,75733527,2025/05/29 14:09:59,24.25000,24.30000,0.00000,0.00000
00013,和黄医药,HUTCHMED,,21.65000,21.05000,21.05000,21.80000,20.90000,3633000,77992825,2025/05/29 14:10:41,21.65000,21.75000,0.60000,2.85036
00014,希慎兴业,HYSAN DEV,,12.74000,12.68000,12.66000,12.74000,12.64000,250000,3175860,2025/05/29 14:10:31,12.72000,12.74000,0.06000,0.47319
00016,新鸿基地产,SHK PPT,,83.00000,82.85000,83.50000,84.00000,82.80000,1667847,139042842,2025/05/29 14:09:59,83.00000,83.05000,0.15000,0.18105
00017,新世界发展,NEW WORLD DEV,,4.59000,4.55000,4.56000,4.66000,4.55000,4804115,22152061,2025/05/29 14:11:18,4.59000,4.61000,0.04000,0.87912
00018,东方企控集团,ORIENTAL E H,,0.40500,0.40000,0.40500,0.40500,0.40500,2000,810,2025/05/29 14:02:44,0.40000,0.40500,0.00500,1.25000
00019,太古股份公司Ａ,SWIRE PACIFIC A,,66.60000,66.90000,66.65000,67.60000,66.25000,537117,35908931,2025/05/29 14:11:14,66.55000,66.60000,-0.30000,-0.44843
00020,商汤－Ｗ,SENSETIME-W,,1.41000,1.38000,1.38000,1.42000,1.37000,163766000,229544150,2025/05/29 14:10:36,1.40000,1.41000,0.03000,2.17391
00021,大中华控股,GREAT CHI HLDGS,,0.11900,0.11600,0.11900,0.11900,0.11900,2600000,311895,2025/05/29 14:11:00,0.11300,0.12000,0.00300,2.58621
00022,茂盛控股,MEXAN,,0.17500,0.17000,0.17000,0.19800,0.17000,11423120,2090316,2025/05/29 14:11:03,0.17400,0.17600,0.00500,2.94118
00023,东亚银行,BANK OF E ASIA,,11.08000,11.20000,11.22000,11.22000,11.04000,620131,6877881,2025/05/29 14:11:09,11.06000,11.08000,-0.12000,-1.07143
00025,CHEVALIER INT'L,CHEVALIER INT'L,,3.90000,3.97000,3.85000,3.90000,3.85000,4200,16260,2025/05/29 13:11:15,3.90000,4.06000,-0.07000,-1.76322
00026,中华汽车,CHINA MOTOR BUS,,58.55000,59.75000,59.75000,59.75000,58.55000,9800,578770,2025/05/29 14:06:05,59.00000,59.50000,-1.20000,-2.00837
00027,银河娱乐,GALAXY ENT,,34.15000,33.45000,33.20000,34.25000,33.20000,10438357,353421704,2025/05/29 14:10:46,34.15000,34.20000,0.70000,2.09268
00028,天安,TIAN AN,,4.16000,4.24000,4.20000,4.20000,4.16000,19000,79130,2025/05/29 13:16:08,4.17000,4.25000,-0.08000,-1.88679
00029,达力集团,DYNAMIC HOLD,,13.48000,13.66000,13.60000,13.60000,13.38000,62000,835680,2025/05/29 14:09:09,13.44000,13.50000,-0.18000,-1.31772
00030,云白国际,YNBY INTL,,0.19500,0.19500,0.19500,0.20400,0.19200,291600,56962,2025/05/29 13:25:41,0.19300,0.19500,0.00000,0.00000
00031,航天控股,CHINA AEROSPACE,,0.40500,0.40000,0.40000,0.40500,0.39500,1902400,761610,2025/05/29 14:05:26,0.39500,0.40500,0.00500,1.25000
00032,港通控股,CROSS-HAR(HOLD),,8.10000,8.20000,8.10000,8.10000,8.10000,1000,8100,2025/05/29 13:59:18,8.10000,8.20000,-0.10000,-1.21951
00033,INTL GENIUS,INTL GENIUS,,0.77000,0.81000,0.80000,0.80000,0.77000,288000,223900,2025/05/29 13:50:09,0.76000,0.77000,-0.04000,-4.93827
00034,九龙建业,KOWLOON DEV,,3.00000,3.02000,3.00000,3.06000,2.95000,227330,682690,2025/05/29 13:41:54,3.01000,3.03000,-0.02000,-0.66225
00035,远东发展,FE CONSORT INTL,,0.93000,0.94000,0.94000,0.94000,0.93000,85000,79750,2025/05/29 13:27:12,0.93000,0.94000,-0.01000,-1.06383
00036,远东控股国际,FE HLDGS INTL,,0.42000,0.42000,0.00000,0.00000,0.00000,0,0,2025/05/29 13:00:07,0.37500,0.41000,0.00000,0.00000
00037,远东酒店实业,FE HOTELS,,0.52000,0.51000,0.51000,0.52000,0.51000,136000,70220,2025/05/29 14:10:13,0.51000,0.52000,0.01000,1.96078
00038,第一拖拉机股份,FIRST TRACTOR,,6.46000,6.47000,6.43000,6.52000,6.42000,2073926,13420104,2025/05/29 14:11:02,6.46000,6.47000,-0.01000,-0.15456
00039,中国北大荒,CH BEIDAHUANG,,0.11800,0.11700,0.11900,0.11900,0.11800,352000,41560,2025/05/29 13:50:17,0.11600,0.11900,0.00100,0.85470
00040,金山科技工业,GOLD PEAK,,0.59000,0.59000,0.59000,0.59000,0.56000,59000,34690,2025/05/29 13:25:52,0.57000,0.60000,0.00000,0.00000
00041,鹰君,GREAT EAGLE H,,13.68000,13.76000,13.80000,13.80000,13.64000,363000,4975460,2025/05/29 14:09:16,13.68000,13.72000,-0.08000,-0.58140
00042,东北电气,NE ELECTRIC,,0.24700,0.23700,0.24500,0.25500,0.24000,226000,54958,2025/05/29 13:31:21,0.24100,0.24600,0.01000,4.21941
00045,大酒店,HK&S HOTELS,,5.41000,5.39000,5.41000,5.41000,5.38000,58500,316105,2025/05/29 13:00:06,5.40000,5.41000,0.02000,0.37106
00046,科联系统,COMPUTER & TECH,,1.49000,1.49000,0.00000,0.00000,0.00000,0,0,2025/05/29 09:55:19,1.47000,1.50000,0.00000,0.00000
00048,中国汽车内饰,C AUTO INT DECO,,0.26000,0.26000,0.00000,0.00000,0.00000,0,0,2025/05/29 14:02:46,0.21500,0.25000,0.00000,0.00000
00050,香港小轮（集团）,HK FERRY (HOLD),,4.32000,4.33000,4.34000,4.36000,4.32000,63000,272640,2025/05/29 13:46:33,4.31000,4.33000,-0.01000,-0.23095
00051,海港企业,HARBOUR CENTRE,,3.98000,3.98000,0.00000,0.00000,0.00000,0,0,2025/05/29 14:00:56,3.95000,3.99000,0.00000,0.00000
00052,大快活集团,FAIRWOOD HOLD,,5.04000,5.04000,5.02000,5.04000,5.02000,57500,289425,2025/05/29 14:00:12,5.04000,5.08000,0.00000,0.00000
00053,国浩集团,GUOCO GROUP,,64.55000,64.00000,64.55000,64.55000,64.55000,1000,64550,2025/05/29 13:09:32,64.20000,64.60000,0.55000,0.85938
00055,中星集团控股,NEWAY GROUP,,0.19500,0.18100,0.19500,0.19500,0.19500,10000,1950,2025/05/29 13:00:26,0.17000,0.19500,0.01400,7.73481
00057,震雄集团,CHEN HSONG HOLD,,1.41000,1.40000,1.41000,1.41000,1.41000,14000,19740,2025/05/29 11:23:11,1.40000,1.42000,0.01000,0.71429
